speed,class,precision,recall,f1_score,support
1-83Hz,S10Granite,1.0,1.0,1.0,1201
1-83Hz,Holstein_Sandstone,0.9925,0.9933,0.9929,1200
1-83Hz,Leitendorf_Limestone,0.9935,0.9926,0.993,1223
5-10Hz,S10Granite,0.9992,0.9936,0.9964,1246
5-10Hz,Holstein_Sandstone,0.9942,0.9958,0.995,1200
5-10Hz,Leitendorf_Limestone,0.9934,0.9975,0.9955,1211
